model_name,training_time_seconds,training_time_minutes,prediction_time_seconds,predictions_per_second,samples_test,dep_mae,dep_mse,dep_rmse,dep_r2,dep_mape,dep_smape,arr_mae,arr_mse,arr_rmse,arr_r2,arr_mape,arr_smape,avg_mae,avg_rmse,avg_r2,avg_mape,avg_smape
Original Neural Network,235.34575653076172,3.9224292755126955,48.56373596191406,20828.422277752066,1011506,5.28544282913208,55.93124008178711,7.478719147139242,0.9819654822349548,77.82549993926783,106.13029963340755,6.3837432861328125,75.56773376464844,8.692970364878073,0.9772874712944031,90.48176746630499,69.6808471925069,5.834593057632446,8.085844756008658,0.979626476764679,84.15363370278641,87.90557341295722
Wide & Deep Network,676.2156131267548,11.270260218779246,57.104631185531616,17713.20432336986,1011506,5.194460391998291,56.292850494384766,7.502856155783927,0.9818488955497742,77.43306420825067,105.1345708728093,6.309158802032471,71.62423706054688,8.463110365613039,0.9784727096557617,79.76168310734866,68.79275131778232,5.751809597015381,7.982983260698482,0.9801608026027679,78.59737365779966,86.9636610952958
Residual Network,2671.098941087723,44.51831568479538,75.35425853729248,13423.342218932594,1011506,4.631216526031494,44.74991226196289,6.6895375222778215,0.9855707883834839,78.25345592252125,96.77026298947152,4.99342155456543,50.4129753112793,7.100209525871705,0.9848479628562927,74.38137183161288,60.620524654835975,4.812319040298462,6.894873524074763,0.9852093756198883,76.31741387706707,78.69539382215375
Transformer Network,3188.582052707672,53.143034211794536,87.8499825000763,11514.014814961649,1011506,7.404285907745361,176.58460998535156,13.288514212858846,0.943061888217926,80.36104207979385,113.40410727157584,9.219573974609375,176.78094482421875,13.295899549267764,0.9468669295310974,84.64079041125139,81.50190885158685,8.311929941177368,13.292206881063304,0.9449644088745117,82.50091624552262,97.45300806158134
